dataset,query_size,batch_size,num_queries,total_time_s,per_query_time_s,host_to_gpu_s,device_to_cpu_s,errors
glove.840B.300d.txt,tiny,1,10,2.627198,0.262720,1.358580,0.000126,0
glove.840B.300d.txt,small,1,100,2.761523,0.027615,1.360843,0.000100,0
glove.840B.300d.txt,medium,1,1000,14.351284,0.014351,1.365012,0.000136,0
glove.840B.300d.txt,big,1,10000,130.154173,0.013015,1.368243,0.000222,0
glove.840B.300d.txt,tiny,2,10,1.610183,0.161018,1.371124,0.000084,0
glove.840B.300d.txt,small,2,100,2.744683,0.027447,1.364544,0.000073,0
glove.840B.300d.txt,medium,2,1000,14.300246,0.014300,1.382118,0.000132,0
glove.840B.300d.txt,big,2,10000,129.944964,0.012994,1.392785,0.000212,0
glove.840B.300d.txt,tiny,5,10,1.586826,0.158683,1.363643,0.000084,0
glove.840B.300d.txt,small,5,100,2.684348,0.026843,1.366143,0.000092,0
glove.840B.300d.txt,medium,5,1000,13.691721,0.013692,1.363365,0.000279,0
glove.840B.300d.txt,big,5,10000,123.744425,0.012374,1.390491,0.000221,0
