dataset,query_size,batch_size,num_queries,total_time_s,per_query_time_s,host_to_gpu_s,device_to_cpu_s,errors
glove.840B.300d.txt,tiny,16,10,2.435512,0.243551,1.376935,0.000149,0
glove.840B.300d.txt,small,16,100,2.478406,0.024784,1.362999,0.000091,0
glove.840B.300d.txt,medium,16,1000,2.895298,0.002895,1.384403,0.000079,0
glove.840B.300d.txt,big,16,10000,7.007379,0.000701,1.392536,0.000171,0
glove.840B.300d.txt,tiny,32,10,2.391769,0.239177,1.399325,0.000111,0
glove.840B.300d.txt,small,32,100,2.465035,0.024650,1.387140,0.000198,0
glove.840B.300d.txt,medium,32,1000,2.674374,0.002674,1.369637,0.000080,0
glove.840B.300d.txt,big,32,10000,5.110749,0.000511,1.364284,0.000097,0
glove.840B.300d.txt,tiny,64,10,2.425328,0.242533,1.362058,0.000131,0
glove.840B.300d.txt,small,64,100,2.434959,0.024350,1.390294,0.000096,0
glove.840B.300d.txt,medium,64,1000,2.603077,0.002603,1.395768,0.000109,0
glove.840B.300d.txt,big,64,10000,4.116392,0.000412,1.395863,0.000108,0
glove.840B.300d.txt,tiny,128,10,2.419534,0.241953,1.383282,0.000088,0
glove.840B.300d.txt,small,128,100,2.441234,0.024412,1.373723,0.000126,0
glove.840B.300d.txt,medium,128,1000,2.469017,0.002469,1.365324,0.000075,0
glove.840B.300d.txt,big,128,10000,3.649122,0.000365,1.371688,0.000306,0
glove.840B.300d.txt,tiny,256,10,2.417523,0.241752,1.394784,0.000109,0
glove.840B.300d.txt,small,256,100,2.396633,0.023966,1.371754,0.000162,0
glove.840B.300d.txt,medium,256,1000,2.486762,0.002487,1.407843,0.000095,0
glove.840B.300d.txt,big,256,10000,3.439603,0.000344,1.384991,0.000147,0
glove.840B.300d.txt,tiny,512,10,2.304941,0.230494,1.366091,0.000116,0
glove.840B.300d.txt,small,512,100,2.279965,0.022800,1.405795,0.000116,0
glove.840B.300d.txt,medium,512,1000,2.618702,0.002619,1.687953,0.000106,0
glove.840B.300d.txt,big,512,10000,3.949588,0.000395,1.601872,0.000347,0
