dataset,query_size,batch_size,num_queries,total_time_s,per_query_time_s,host_to_gpu_s,device_to_cpu_s,errors
glove.6B.50d.txt,tiny,16,10,2.781054,0.278105,0.072373,0.000134,0
glove.6B.50d.txt,small,16,100,2.748593,0.027486,0.072646,0.000114,0
glove.6B.50d.txt,medium,16,1000,2.810348,0.002810,0.075115,0.000113,0
glove.6B.50d.txt,big,16,10000,2.784395,0.000278,0.052940,0.000163,0
glove.6B.50d.txt,tiny,32,10,2.357979,0.235798,0.052802,0.000163,0
glove.6B.50d.txt,small,32,100,2.415388,0.024154,0.052476,0.000215,0
glove.6B.50d.txt,medium,32,1000,2.650213,0.002650,0.053432,0.000231,0
glove.6B.50d.txt,big,32,10000,2.668854,0.000267,0.053279,0.000144,0
glove.6B.50d.txt,tiny,64,10,2.492065,0.249206,0.053123,0.000098,0
glove.6B.50d.txt,small,64,100,2.705309,0.027053,0.052512,0.000192,0
glove.6B.50d.txt,medium,64,1000,2.739661,0.002740,0.071610,0.000128,0
glove.6B.50d.txt,big,64,10000,2.403367,0.000240,0.055455,0.000093,0
glove.6B.50d.txt,tiny,128,10,2.262865,0.226286,0.052995,0.000098,0
glove.6B.50d.txt,small,128,100,2.373688,0.023737,0.053917,0.000093,0
glove.6B.50d.txt,medium,128,1000,2.424217,0.002424,0.054253,0.000158,0
glove.6B.50d.txt,big,128,10000,2.497986,0.000250,0.053765,0.000151,0
glove.6B.50d.txt,tiny,256,10,2.452265,0.245226,0.053149,0.000099,0
glove.6B.50d.txt,small,256,100,2.344245,0.023442,0.053903,0.000151,0
glove.6B.50d.txt,medium,256,1000,2.413749,0.002414,0.051886,0.000136,0
glove.6B.50d.txt,big,256,10000,2.490519,0.000249,0.055126,0.000125,0
glove.6B.50d.txt,tiny,512,10,2.330885,0.233089,0.052954,0.000104,0
glove.6B.50d.txt,small,512,100,2.337549,0.023375,0.054123,0.000079,0
glove.6B.50d.txt,medium,512,1000,2.339344,0.002339,0.053290,0.000259,0
glove.6B.50d.txt,big,512,10000,2.642062,0.000264,0.052094,0.000151,0
