dataset,query_size,batch_size,num_queries,total_time_s,per_query_time_s,host_to_gpu_s,device_to_cpu_s,errors
pubs.csv,tiny,16,10,0.043607,0.004361,0.001425,0.000420,0
pubs.csv,small,16,100,0.042955,0.000430,0.001379,0.000386,19
pubs.csv,medium,16,1000,0.041739,0.000042,0.001371,0.000392,157
pubs.csv,big,16,10000,0.045393,0.000005,0.001520,0.000499,1731
pubs.csv,tiny,32,10,0.044431,0.004443,0.001530,0.000457,0
pubs.csv,small,32,100,0.046925,0.000469,0.001863,0.000480,20
pubs.csv,medium,32,1000,0.043519,0.000044,0.001355,0.000393,157
pubs.csv,big,32,10000,0.045259,0.000005,0.001436,0.000532,1731
pubs.csv,tiny,64,10,0.043376,0.004338,0.001392,0.000414,0
pubs.csv,small,64,100,0.045440,0.000454,0.002194,0.000427,20
pubs.csv,medium,64,1000,0.045500,0.000046,0.001394,0.000426,157
pubs.csv,big,64,10000,0.045247,0.000005,0.001361,0.000502,1731
pubs.csv,tiny,128,10,0.043509,0.004351,0.001346,0.000413,0
pubs.csv,small,128,100,0.043694,0.000437,0.001353,0.000471,18
pubs.csv,medium,128,1000,0.044669,0.000045,0.001507,0.000448,157
pubs.csv,big,128,10000,0.045945,0.000005,0.001521,0.000552,1731
pubs.csv,tiny,256,10,0.046498,0.004650,0.001888,0.000565,0
pubs.csv,small,256,100,0.043188,0.000432,0.001415,0.000413,19
pubs.csv,medium,256,1000,0.043595,0.000044,0.001399,0.000395,157
pubs.csv,big,256,10000,0.044993,0.000004,0.001333,0.000515,1731
pubs.csv,tiny,512,10,0.043934,0.004393,0.001427,0.000456,0
pubs.csv,small,512,100,0.042660,0.000427,0.001427,0.000408,19
pubs.csv,medium,512,1000,0.043628,0.000044,0.001400,0.000420,157
pubs.csv,big,512,10000,0.045071,0.000005,0.001408,0.000526,1731
